Site ID,Site Name,Full Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
QAEG,GRACE LUTHERAN SCHOOL,3120 21ST AVENUE 11105,FY14,5.9
XATD,BRONX COMMUNITY COLLEGE EARLY CHILDHOOD CENTER,2010 SEDGWICK 10468,FY14,5.8
QBGR,MI NUEVO MUNDO,5102 31ST AVENUE 11377,FY14,5.8
Q164,P.S. 164 QUEENS VALLEY,138-01 77 AVENUE 11367,FY15,5.8
Q111,P.S. 111 JACOB BLACKWELL,37-15 13 STREET 11101,FY15,5.6
Q117,P.S. 117 J. KELD / BRIARWOOD SCHOOL,85-15 143 STREET 11435,FY15,5.6
K123,P.S. 123 SUYDAM,100 IRVING AVENUE 11237,FY14,5.6
KAOV,YESHIVA OHR SHRAGA,1102 AVENUE L 11230,FY14,5.6
RADL,BUSY BEACH DAY CARE INC.,777 SEAVIEW AVENUE BUILDING 11 10305,FY15,5.5
QAUN,JACK & JILL II,6805 FRESH MEADOW LANE 11365,FY15,5.5
QBGO,SUNNYSIDE COMMUNITY SERVICES,43-31 39TH STREET SUNNYSIDE 11104,FY14,5.5
Q290,A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,70-02 54 AVENUE 11378,FY15,5.4
QARQ,ALL MY CHILDREN,83-10 188 STREET 11423,FY14,5.4
XAKX,ANNA LEFKOWITZ DCC,690 WESTCHESTER AVENUE 10455,FY14,5.4
QBIH,MI NUEVO MUNDO,100-09 39 AVENUE 11368,FY15,5.4
KBOA,OUR CHILDREN'S CENTER,300 JAY STREET ROOM G309 11201,FY15,5.4
Q088,P.S. 088 SENECA,60-85 CATALPA AVENUE 11385,FY15,5.4
Q136,P.S. 136 ROY WILKINS,201-15 115 AVENUE 11412,FY15,5.4
Q207,P.S. 207 ROCKWOOD PARK,159-15 88 STREET 11414,FY14,5.4
QASG,POSITIVE BEGINNINGS II,71-25 MAIN STREET 11367,FY14,5.4
QBGU,POSITIVE BEGINNINGS PRESCHOOL,72-52 METROPOLITAN AVE 11379,FY14,5.4
QBIZ,PRESCHOOL R US II,59-25 KISSENA BOULEVARD 11354,FY15,5.4
QAHG,STEPPING STONE PRE &GRADE SCHOOL,11428 FRANCIS LEWIS BOULEVARD 11412,FY15,5.4
QBJD,THE SALVATION ARMY - THE RIDGEWOOD CITADEL COMMUNITY CENTER,69-23 CYPRESS HILLS STREET 11385,FY15,5.4
