Site ID,Site Name,Site Street Address,Site Zip Code,Full Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
XAPN,1199 FUTURE OF AMERICA LEARNING CENTER,2500 CRESTON AVENUE,10468,2500 CRESTON AVENUE 10468,FY14,3.5
KBOB,196 ALBANY AVENUE DCC,196 ALBANY AVENUE,11213,196 ALBANY AVENUE 11213,FY14,3.9
XAXC,3490 READY SET LEARN,3490 THIRD AVENUE,10456,3490 THIRD AVENUE 10456,FY15,4
RAEW,"4 ANGELS DAY CARE, INC.",245 SIMONSON AVENUE,10303,245 SIMONSON AVENUE 10303,FY14,3.5
QAYL,82ND STREET ACADEMICS,8110 35TH AVENUE,11372,8110 35TH AVENUE 11372,FY15,4
KCJH,"A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",2570 PITKIN AVENUE,11208,2570 PITKIN AVENUE 11208,FY15,3.2
QANS,"A TO Z CENTER TOO, INC.",220-24 JAMAICA AVENUE,11428,220-24 JAMAICA AVENUE 11428,FY14,3.9
KCJR,A TO Z DAY CARE CENTER,3053 AVENUE U,11229,3053 AVENUE U 11229,FY15,3.6
Q290,A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,70-02 54 AVENUE,11378,70-02 54 AVENUE 11378,FY15,5.4
QAST,"ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",66-20 LAUREL HILL BOULEVARD,11377,66-20 LAUREL HILL BOULEVARD 11377,FY15,4.1
MBAJ,ABYSSINIAN DEVELOPMENT CORP 3,25 WEST 132ND STREET,10037,25 WEST 132ND STREET 10037,FY15,4.2
QBII,ACADEMY OF EXCELLENCE BELL PARK 7,178-36 WEXFORD TERRACE,11432,178-36 WEXFORD TERRACE 11432,FY15,3.8
KBMU,ACE EARLY CHILDHOOD CENTER,199 14TH STREET2ND FLOOR,11215,199 14TH STREET2ND FLOOR 11215,FY15,3.7
KBXL,ACE INTEGRATION HEAD START,1419-23 BROADWAY,11221,1419-23 BROADWAY 11221,FY14,4.1
KARS,ACTION NURSERY,1019 46TH STREET,11219,1019 46TH STREET 11219,FY15,4.1
MAWD,ADDIE MAE COLLINS 2,345 EAST 101ST STREET,10029,345 EAST 101ST STREET 10029,FY15,3.2
MASA,ADDIE MAE COLLINS 3,2322 THIRD AVENUE,10035,2322 THIRD AVENUE 10035,FY14,3.3
QBHX,ADVENTURELAND CHILD CARE,32-04 31ST AVE. (2ND FL),11106,32-04 31ST AVE. (2ND FL) 11106,FY15,4.3
QAOC,AFRO AMERICAN PARENTS,117-02 GUY BREWER BLVD,11434,117-02 GUY BREWER BLVD 11434,FY15,3.1
KATG,AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,201 CONSELYEA STREET,11211,201 CONSELYEA STREET 11211,FY15,4.3
KCJO,AIM HIGH CHILDRENS SERVICES,83 MARLBOROUGH RD,11226,83 MARLBOROUGH RD 11226,FY15,4.1
QBHY,AIM HIGH LEADERSHIP ACADEMY,131-44 134TH ST,11420,131-44 134TH ST 11420,FY15,4.9
QBJO,AL MADINAH SCHOOL,1824 ASTORIA BLVD.,11102,1824 ASTORIA BLVD. 11102,FY15,5
KCIZ,AL MADINAH SCHOOL SITE 2,2015 64 STREET,11204,2015 64 STREET 11204,FY15,4.3
KBYJ,"AL MADINAH SCHOOL, INC.",383 3RD AVENUE,11215,383 3RD AVENUE 11215,FY15,4.6
XAMI,ALEENE LOGAN DAY CARE,1450 WEBSTER AVENUE,10456,1450 WEBSTER AVENUE 10456,FY14,3.7
QARQ,ALL MY CHILDREN,83-10 188 STREET,11423,83-10 188 STREET 11423,FY14,5.4
KBKP,ALL MY CHILDREN # 11,317 ROGERS AVENUE,11225,317 ROGERS AVENUE 11225,FY14,4
QAWZ,ALL MY CHILDREN DAY CARE (69TH AVE),10822 69TH AVENUE,11375,10822 69TH AVENUE 11375,FY15,4.2
KBJH,ALL MY CHILDREN DAY CARE 10,420 LEFFERTS AVENUE,11225,420 LEFFERTS AVENUE 11225,FY14,4
KBJG,ALL MY CHILDREN DAY CARE 13 - FORD,36 FORD STREET,11213,36 FORD STREET 11213,FY14,4.8
KBSQ,ALL MY CHILDREN DAY CARE 15,36 FORD STREET,11213,36 FORD STREET 11213,FY14,4.7
QAUT,ALL MY CHILDREN DAY CARE 2,16907 JEWEL AVENUE,11365,16907 JEWEL AVENUE 11365,FY15,4.4
QBHD,ALL MY CHILDREN DAY CARE 3,6605 108TH STREET,11375,6605 108TH STREET 11375,FY14,3.7
QAPB,ALL MY CHILDREN DAY CARE 4,11015 164TH PLACE,11433,11015 164TH PLACE 11433,FY14,4.7
QAOW,ALL MY CHILDREN DAY CARE 6,11716 SUTPHIN BOULEVARD,11434,11716 SUTPHIN BOULEVARD 11434,FY14,4.4
QARN,ALL MY CHILDREN DAY CARE 8,97-30 QUEENS BLVD,11374,97-30 QUEENS BLVD 11374,FY14,4.1
KBIE,ALL MY CHILDREN DAY CARE SITE 16,739 EAST NEW YORK AVENUE,11203,739 EAST NEW YORK AVENUE 11203,FY14,4.5
QBJN,AL-MAMOOR SCHOOL,78-31 PARSONS BOULEVARD,11366,78-31 PARSONS BOULEVARD 11366,FY15,4.7
KCHM,ALONZO A. DAUGHTRY MEMORIAL DAY CARE CENTER INC,565 BALTIC STREET,11217,565 BALTIC STREET 11217,FY15,3.5
KCKC,ALPHA CHRISTIAN ACADEMY,921 EAST 107TH STREET,11236,921 EAST 107TH STREET 11236,FY15,3.7
QAUW,ALPHA KAPPA ALPHA EPSILON PI OMEGA DCC,14406 ROCKAWAY BOULEVARD,11420,14406 ROCKAWAY BOULEVARD 11420,FY15,4.9
KCJY,ANGEL EARLY CHILDHOOD DEVELOPMENT CENTER,1436 67TH STREET 1ST FLOOR,11219,1436 67TH STREET 1ST FLOOR 11219,FY15,4.2
XAKX,ANNA LEFKOWITZ DCC,690 WESTCHESTER AVENUE,10455,690 WESTCHESTER AVENUE 10455,FY14,5.4
QBGV,APPLE TREE DAY CARE CENTER (197TH ST),7312 197 STREET,11366,7312 197 STREET 11366,FY14,4.6
KCHR,"APPLE TREE DAY CARE, INC.",440 EAST 48TH STREET,11203,440 EAST 48TH STREET 11203,FY15,2.9
QAWX,APPLE TREE NURSERY SCHOOL,8225 164TH STREET,11432,8225 164TH STREET 11432,FY15,3.2
KCHJ,"ARISTA PREP, INC.",221 KINGSTON AVENUE,11213,221 KINGSTON AVENUE 11213,FY15,3.5
QAYZ,ATONEMENT PRE-SCHOOL,3061 87 STREET,11369,3061 87 STREET 11369,FY15,4.9
KBMB,AUDREY JOHNSON DCC,272 MOFFAT STREET,11207,272 MOFFAT STREET 11207,FY14,4.5
KBDX,B.ABOVE WORLDWIDE INSTITUTE - TOMER DEVORAH,4500 9 AVE,11220,4500 9 AVE 11220,FY14,4.1
KBCA,BABOVE 32,799 KENT AVENUE,11205,799 KENT AVENUE 11205,FY15,4.5
KCEI,BAMBI DAY CARE II,2121 BRAGG STREET,11229,2121 BRAGG STREET 11229,FY14,5.1
KABP,BATTALION CHRISTIAN ACADEMY,780 SCHENECTADY AVE,11203,780 SCHENECTADY AVE 11203,FY15,3
QANZ,BATTALION CHRISTIAN ACADEMY,454 BEACH 67 STREET,11692,454 BEACH 67 STREET 11692,FY15,4.5
KBMP,BAY RIDGE CHILD CARE CENTER,314- 44TH STREET,11220,314- 44TH STREET 11220,FY14,3.9
KCHT,"BAYBEE LOUNGE DAYCARE, INC.",2745 ATLANTIC AVENUE,11207,2745 ATLANTIC AVENUE 11207,FY15,3.4
KBEP,BCA DAY CARE CENTER,713 43RD STREET,11232,713 43RD STREET 11232,FY14,3.8
KBUA,BCS ATLANTIC AVENUE EARLY LEARNING CENTER,1825 ATLANTIC AVENUE,11233,1825 ATLANTIC AVENUE 11233,FY14,4.7
KCBX,BE ABOVE #26,771 EAST 49 STREET,11203,771 EAST 49 STREET 11203,FY15,2.9
KBBY,BE ABOVE #27,779 EAST 49 STREET,11203,779 EAST 49 STREET 11203,FY14,3.6
QAPS,BE ABOVE 22 (NEW WORLD EDUCATION CENTER),13737 FARMERS BOULEVARD,11434,13737 FARMERS BOULEVARD 11434,FY14,4.4
KBJE,BE ABOVE 37,570 CROWN STREET,11213,570 CROWN STREET 11213,FY14,5.3
KBXX,BE ABOVE 42,1363 50TH STREET,11219,1363 50TH STREET 11219,FY14,4.4
KBSX,BE ABOVE 49,2221 AVENUE R,11229,2221 AVENUE R 11229,FY14,2.6
KBSZ,BE ABOVE 50,87 PUTNAM AVENUE,11238,87 PUTNAM AVENUE 11238,FY14,4.3
XAIF,BE ABOVE 52,1810 DAVIDSON AVENUE,10453,1810 DAVIDSON AVENUE 10453,FY14,4.9
QAPP,BE ABOVE SITE 16,189-26 LINDEN BLVD,11412,189-26 LINDEN BLVD 11412,FY14,4.5
X077,BEDFORD PARK ELEMENTARY SCHOOL,3177 WEBSTER AVENUE,10467,3177 WEBSTER AVENUE 10467,FY15,3.7
KBNJ,BEDFORD STUYVESANT ECDC 260,260 JEFFERSON AVENUE,11216,260 JEFFERSON AVENUE 11216,FY15,3.9
KBNK,BEDFORD STUYVESANT ECDC 262,262 LEXINGTON AVENUE,11216,262 LEXINGTON AVENUE 11216,FY15,4.5
KBZU,BEDFORD STUYVESANT ECDC 510,510 QUINCY STREET,11221,510 QUINCY STREET 11221,FY14,5.2
KBNN,BEDFORD-STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,971 DEKALB AVENUE,11221,971 DEKALB AVENUE 11221,FY14,3.4
KBNI,BEDFORD-STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,214 STUYVESANT AVENUE,11221,214 STUYVESANT AVENUE 11221,FY14,4.2
KBNG,BEDFORD-STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER,275 MARCUS GARVEY BOULEVARD,11221,275 MARCUS GARVEY BOULEVARD 11221,FY14,5.1
XAVS,BEDROCK PRESCHOOL,3220 ARLINGTON AVENUE,10463,3220 ARLINGTON AVENUE 10463,FY15,4.1
MAUH,BELLEVUE-EDUCARE CHILDCARE CENTER,462 FIRST AVENUE,10016,462 FIRST AVENUE 10016,FY14,3.1
QASL,BESSIE &NORA'S PLACE,90-05 161ST STREET,11432,90-05 161ST STREET 11432,FY15,4.1
XAHW,BETANCES EARLY CHILDHOOD CENTER (NYCHA),528 EAST 146TH STREET,10455,528 EAST 146TH STREET 10455,FY15,4.2
QAAB,BETH GAVRIEL/SHA'AREI ZION OHEL BRACHA,7524 GRAND CENTRAL PARKWAY,11375,7524 GRAND CENTRAL PARKWAY 11375,FY15,3.9
KBPN,BETH JACOB DAY CARE CENTER,1363 46TH STREET,11219,1363 46TH STREET 11219,FY14,5
KCDI,BETH JACOB OF BOROUGH PARK,1371 46 STREET,11219,1371 46 STREET 11219,FY14,4.6
QBJH,BETHEL MISSION STATION CHURCH / BETHEL MISSION LOVING DAY CARE CENTER,338 BEACH 56 STREET,11692,338 BEACH 56 STREET 11692,FY15,4.7
QAXD,"BLANCHE COMMUNITY PROGRESS DAY CARE CENTER, INC.",10960 202ND STREET,11412,10960 202ND STREET 11412,FY14,3.9
XALQ,BLONDELL JOYNER DCC,901 TINTON AVENUE,10456,901 TINTON AVENUE 10456,FY14,4.2
MAUZ,BLOOMINGDALE FAMILY PROGRAM 1,125 WEST 109TH STREET,10025,125 WEST 109TH STREET 10025,FY15,3.6
MAVB,BLOOMINGDALE FAMILY PROGRAM III,987 COLUMBUS AVENUE,10025,987 COLUMBUS AVENUE 10025,FY14,3.8
KCJC,BLUE STAR DAY CARE CENTER,2217 CATON AVENUE,11226,2217 CATON AVENUE 11226,FY15,5
KCIE,BNOS CHAYA,4511 14TH AVENUE,11219,4511 14TH AVENUE 11219,FY15,4
KBPA,BOULEVARD NURSERY SCHOOL,2150 LINDEN BOULEVARD,11207,2150 LINDEN BOULEVARD 11207,FY14,3.6
KBPB,BREUKELEN EARLY CHILDHOOD DEVELOPMENT CENTER,717 EAST 105TH STREET,11236,717 EAST 105TH STREET 11236,FY14,4.1
KBPI,BREUKELEN HEAD START,715 EAST 105TH STREET,11236,715 EAST 105TH STREET 11236,FY14,4.1
KASC,BREVOORT CHILDREN'S CENTER,250 RALPH AVENUE,11233,250 RALPH AVENUE 11233,FY15,5.2
QBHS,BRIGHT KIDS DAY CARE,108-42 SUTPHIN BOULEVARD,11435,108-42 SUTPHIN BOULEVARD 11435,FY15,4
K627,BRIGHTER CHOICE COMMUNITY SCHOOL,280 HART STREET,11206,280 HART STREET 11206,FY15,4.6
XART,BRIGHTSIDE ACADEMY,331 EAST 150TH STREET,10451,331 EAST 150TH STREET 10451,FY15,3.2
KBTB,BRIGHTSIDE ACADEMY - BARBEY,683 BARBEY STREET,11207,683 BARBEY STREET 11207,FY14,3.8
KBTC,BRIGHTSIDE ACADEMY - BELMONT,50 BELMONT AVENUE,11212,50 BELMONT AVENUE 11212,FY14,3.8
KBTE,BRIGHTSIDE ACADEMY - BROADWAY,1491 BROADWAY,11221,1491 BROADWAY 11221,FY14,3.5
KBXK,BRIGHTSIDE ACADEMY - CLARKSON,210 CLARKSON AVENUE,11226,210 CLARKSON AVENUE 11226,FY14,3.7
KBTH,BRIGHTSIDE ACADEMY - DEKALB AVE,844 DEKALB AVENUE,11221,844 DEKALB AVENUE 11221,FY14,2.8
XAWZ,BRIGHTSIDE ACADEMY - INTERVALE,960 INTERVALE AVENUE,10459,960 INTERVALE AVENUE 10459,FY15,3.6
XAJF,BRIGHTSIDE ACADEMY - LOUIS NINE,1336 LOUIS NINE BOULEVARD,10459,1336 LOUIS NINE BOULEVARD 10459,FY15,2.7
XAJG,BRIGHTSIDE ACADEMY - SOUTHERN,1093 SOUTHERN BOULEVARD,10459,1093 SOUTHERN BOULEVARD 10459,FY14,3.9
XAVZ,BRIGHTSIDE ACADEMY - SOUTHERN 2,1778 SOUTHERN BOULEVARD,10460,1778 SOUTHERN BOULEVARD 10460,FY15,3.4
XAJK,BRIGHTSIDE ACADEMY - ST. ANN'S,780 ST ANNS AVE,10456,780 ST ANNS AVE 10456,FY14,2.6
XAMA,BRIGHTSIDE ACADEMY - WHITE PLAINS #2,3942 WHITE PLAINS ROAD,10466,3942 WHITE PLAINS ROAD 10466,FY14,4.2
XATD,BRONX COMMUNITY COLLEGE EARLY CHILDHOOD CENTER,2010 SEDGWICK,10468,2010 SEDGWICK 10468,FY14,5.8
X392,BRONX DELTA SCHOOL,650 HOLLYWOOD AVENUE,10465,650 HOLLYWOOD AVENUE 10465,FY15,4.1
XAJD,BRONX EARLY CHILDHOOD CENTER,1515 SOUTHERN BOULEVARD,10460,1515 SOUTHERN BOULEVARD 10460,FY14,2.9
XARD,BRONX EARLY LEARNING CENTER,1887 BATHGATE AVENUE,10457,1887 BATHGATE AVENUE 10457,FY15,4.2
X691,BRONX LITTLE SCHOOL,1827 ARCHER STREET,10460,1827 ARCHER STREET 10460,FY15,4.3
XAAS,BRONXDALE NURSERY,1065 BEACH AVENUE,10472,1065 BEACH AVENUE 10472,FY15,4.4
XAUZ,BRONXWORKS,1472 MONTGOMERY AVENUE,10453,1472 MONTGOMERY AVENUE 10453,FY14,2.6
XAOD,BRONXWORKS,1130 GRAND CONCOURSE,10456,1130 GRAND CONCOURSE 10456,FY15,3.7
K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,325 SOUTH 3 STREET,11211,325 SOUTH 3 STREET 11211,FY14,4.5
KBPO,"BROOKLYN CHILD CARE, INC.",800 POLY PLACE BUILDING 2,11209,800 POLY PLACE BUILDING 2 11209,FY15,4.5
KCGR,BROOKLYN CHINESE AMERICAN ASSOCIATION,4116 8TH AVENUE,11232,4116 8TH AVENUE 11232,FY15,3.8
KBUL,BROOKLYN CHINESE AMERICAN ASSOCIATION,6409 20 AVENUE,11204,6409 20 AVENUE 11204,FY14,3.7
KBUJ,BROOKLYN CHINESE AMERICAN ASSOCIATION - BAY RIDGE DCC,4202 8TH AVENUE,11232,4202 8TH AVENUE 11232,FY15,3.9
KCEB,BROOKLYN CHINESE-AMERICAN ASSOCIATION,871 50TH STREET,11220,871 50TH STREET 11220,FY14,2.9
KBMM,BROOKLYN CHINESE-AMERICAN ASSOCIATION,812 54TH STREET,11220,812 54TH STREET 11220,FY14,4.1
KBEQ,BROOKLYN DEVELOPMENTAL CENTER,888 FOUNTAIN AVENUE,11208,888 FOUNTAIN AVENUE 11208,FY14,4.8
KCIM,BROOKLYN EXPLORERS ACADEMY,110 SCHERMERHORN STREET,11201,110 SCHERMERHORN STREET 11201,FY15,4.1
K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,574 DUMONT AVENUE,11207,574 DUMONT AVENUE 11207,FY15,4.8
K599,BROOKLYN LANDMARK ELEMENTARY SCHOOL,251 MCDOUGAL STREET,11233,251 MCDOUGAL STREET 11233,FY15,4.1
KBYN,BUMBLE BEES R US 2,76 LORRAINE STREET,11231,76 LORRAINE STREET 11231,FY14,2.6
KBUM,BUMBLE BEES R US 3,2813 FARRAGUT ROAD,11210,2813 FARRAGUT ROAD 11210,FY14,4.2
KBYQ,BUMBLE BEES R US 8,4301 10TH AVENUE,11219,4301 10TH AVENUE 11219,FY14,3.4
KCKB,BUSHWICK UNITED DEVELOPMENT FUND,243 SOUTH 2ND STREET,11211,243 SOUTH 2ND STREET 11211,FY15,4.9
KAZT,BUSHWICK UNITED HDFC 1,136 STANHOPE STREET,11221,136 STANHOPE STREET 11221,FY15,4.4
KBSA,BUSHWICK UNITED HDFC 2,77 WILSON AVENUE,11237,77 WILSON AVENUE 11237,FY15,3.1
KBLW,BUSHWICK UNITED HDFC 4,178 LEONARD STREET,11206,178 LEONARD STREET 11206,FY14,4.8
KBJN,BUSHWICK UNITED HDFC 5,152 MANHATTAN AVENUE,11206,152 MANHATTAN AVENUE 11206,FY14,4.1
KBES,BUSHWICK UNITED HDFC 6,200 CENTRAL AVENUE,11221,200 CENTRAL AVENUE 11221,FY14,3.3
KBRA,BUSHWICK UNITED HDFC 7,600 HART STREET,11221,600 HART STREET 11221,FY14,3.5
KBKH,BUSHWICK UNITED HDFC 9,741 FLUSHING AVENUE,11206,741 FLUSHING AVENUE 11206,FY14,3.5
RADL,BUSY BEACH DAY CARE INC.,777 SEAVIEW AVENUE BUILDING 11,10305,777 SEAVIEW AVENUE BUILDING 11 10305,FY15,5.5
XARW,C.S. 61 EARLY CHILDHOOD,1550 CROTONA PARK EAST,10460,1550 CROTONA PARK EAST 10460,FY15,2.3
QBAC,CAMBRIA CENTER FOR THE GIFTED CHILD,233-10 LINDEN BOULEVARD,11411,233-10 LINDEN BOULEVARD 11411,FY15,5.1
QBIC,CAMBRIA HEIGHTS CHRISTAIN ACADEMY,220-12 LINDEN BLVD,11411,220-12 LINDEN BLVD 11411,FY15,4.6
RADM,CAS SI FAMILY SERVICES CENTER,465 VILLA AVE,10302,465 VILLA AVE 10302,FY15,4.1
M513,CASTLE BRIDGE SCHOOL,560 WEST 169 STREET,10032,560 WEST 169 STREET 10032,FY14,2.9
RAFH,"CASTLE DAY CARE II, INC.",211 CANAL STREET,10304,211 CANAL STREET 10304,FY14,2.8
QBGW,CATHOLIC CHARITIES AT RAVENSWOOD (ANDREW LANDI),2120 35TH AVENUE,11106,2120 35TH AVENUE 11106,FY14,4.5
MBGQ,CCLC AT 4 NY PLAZA,4 NEWYORK PLAZA SUITE 104,10004,4 NEWYORK PLAZA SUITE 104 10004,FY15,4
MBHH,CENTER ANNEX (TIBECA EARLY CHILDHOOD CENTER),21 ST. JOHN'S LANE,10013,21 ST. JOHN'S LANE 10013,FY15,3.8
QATE,CENTER OF EXCELLENCE SPRINGFIELD GARDENS PRESCHOOL,127-08 MERRICK BLVD.,11434,127-08 MERRICK BLVD. 11434,FY15,4.1
QAUK,CHABAD EARLY LEARNING CENTER,21212 26TH AVENUE,11360,21212 26TH AVENUE 11360,FY15,4.4
QAPM,CHARLES R DREW ELC 3,16515 ARCHER AVENUE,11433,16515 ARCHER AVENUE 11433,FY14,5
KBSL,CHARLES R DREW ELC 5,2804 GLENWOOD ROAD,11210,2804 GLENWOOD ROAD 11210,FY14,4.3
KBMO,CHICK PEAS CHILD CARE,451 7TH AVENUE,11215,451 7TH AVENUE 11215,FY14,4.2
KBWD,CHILD PRODIGY LEARNING INC.,1001 BROADWAY,11221,1001 BROADWAY 11221,FY15,2.2
XAJU,CHILDREN'S AID AT P.S. 211,1919 PROSPECT AVENUE,10457,1919 PROSPECT AVENUE 10457,FY14,3.1
MAUJ,CHILDREN'S AID AT P.S. 50,433 EAST 100TH STREET,10029,433 EAST 100TH STREET 10029,FY14,4.2
MAUK,CHILDREN'S AID SOCIETY,93 NAGLE AVENUE,10040,93 NAGLE AVENUE 10040,FY14,3.6
RACS,CHILDREN'S AID SOCIETY RICHMOND EARLY LEARNING CENTER,159 BROADWAY,10310,159 BROADWAY 10310,FY14,3.9
XAMV,CHILDREN'S PRIDE,414 MORRIS AVENUE,10451,414 MORRIS AVENUE 10451,FY14,4.8
XAAX,CHRIST THE KING SCHOOL,1345 GRAND CONCOURSE,10452,1345 GRAND CONCOURSE 10452,FY14,4
MAUM,CHUNG PAK DAY CARE CENTER,"125 WALKER STREET, 3RD FLOOR",10013,"125 WALKER STREET, 3RD FLOOR 10013",FY14,3.8
KCJF,CLARKSON EARLY CHILDHOOD CENTER,8801 GLENWOOD RD,11236,8801 GLENWOOD RD 11236,FY15,4
QAXF,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT,193-04 JAMAICA AVENUE,11423,193-04 JAMAICA AVENUE 11423,FY14,3.9
QBGJ,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT DAY CARE CENTER,193-25 JAMAICA AVENUE,11423,193-25 JAMAICA AVENUE 11423,FY14,3.3
QARO,COMMITTEE FOR EARLY CHILDHOOD DEVELOPMENT HEAD START 2,11721 SUTPHIN BOULEVARD,11434,11721 SUTPHIN BOULEVARD 11434,FY14,5.1
QAVD,COMMUNITY AND FAMILY HEAD START,4105 BEACH CHANNEL DRIVE,11691,4105 BEACH CHANNEL DRIVE 11691,FY15,3.7
QAUL,COMMUNITY CHURCH OF DOUGLASTON,3950 DOUGLASTON PARKWAY,11363,3950 DOUGLASTON PARKWAY 11363,FY14,4.7
MASN,COMMUNITY LIFE CENTER 1,221 EAST 122 STREET,10035,221 EAST 122 STREET 10035,FY14,3.9
MBBG,COMMUNITY LIFE CENTER 2,15 MT MORRIS PARK WEST,10027,15 MT MORRIS PARK WEST 10027,FY15,4.8
QBAJ,COMMUNITY NURSERY SCHOOL COTH,167-07 35TH AVENUE,11358,167-07 35TH AVENUE 11358,FY15,4.9
KBNP,COMMUNITY PARENTS HEAD START,90 CHAUNCEY STREET,11233,90 CHAUNCEY STREET 11233,FY15,3.7
KBLJ,"COMMUNITY PARENTS, INC.",60 EAST 93RD STREET,11212,60 EAST 93RD STREET 11212,FY15,4
QAPK,CONCERNED PARENTS OF JAMAICA EARLY LEARNING CENTER,143-04 101ST AVENUE,11435,143-04 101ST AVENUE 11435,FY14,4.9
XAJB,"CONCOURSE HOUSE, HDFC",2348 WEBSTER AVE,10458,2348 WEBSTER AVE 10458,FY14,4.1
X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,750 CONCOURSE VILLAGE WEST,10451,750 CONCOURSE VILLAGE WEST 10451,FY15,2.3
KBJF,COOPER PARK CHILD CARE CENTER,292 FROST STREET,11222,292 FROST STREET 11222,FY14,3.6
KCJZ,COPO PREK PROGRAM,1083 CONEY ISLAND AVE,11230,1083 CONEY ISLAND AVE 11230,FY15,3.6
KAZZ,CORNERSTONE DAY CARE CENTER,289 LEWIS AVENUE,11221,289 LEWIS AVENUE 11221,FY15,4.5
XAQL,CORRY ACADEMY,4321 BARNES AVENUE,10466,4321 BARNES AVENUE 10466,FY14,4.7
QBIE,CPC CORONA QUEENS UPK,47-05 104TH ST,11368,47-05 104TH ST 11368,FY15,5.3
