Site Zip Code,ECERS Most Recent Assessment Year,ECERS Observation Average Score
11433,FY15,1.9
11206,FY15,1.9
11213,FY15,1.9
10451,FY15,2
10454,FY15,2
11223,FY15,2
11692,FY15,2.1
10027,FY15,2.1
10463,FY15,2.1
11208,FY15,2.1
11221,FY15,2.2
10457,FY15,2.2
10035,FY14,2.2
10460,FY15,2.3
10451,FY15,2.3
11211,FY15,2.3
11435,FY15,2.3
10035,FY15,2.3
11207,FY14,2.3
10454,FY15,2.3
11201,FY15,2.4
11206,FY14,2.5
11211,FY15,2.5
11212,FY15,2.5
11223,FY15,2.5
10475,FY15,2.5
11229,FY14,2.6
10456,FY14,2.6
10453,FY14,2.6
11231,FY14,2.6
11218,FY15,2.6
10452,FY14,2.6
11216,FY15,2.6
10471,FY14,2.6
10453,FY14,2.6
10459,FY15,2.7
11229,FY15,2.7
10463,FY14,2.7
11235,FY15,2.7
11236,FY15,2.7
11234,FY15,2.7
11226,FY15,2.7
11221,FY14,2.8
10304,FY14,2.8
10002,FY15,2.8
10030,FY15,2.8
10466,FY15,2.8
10030,FY15,2.8
11203,FY15,2.8
10002,FY15,2.8
10039,FY15,2.8
11226,FY15,2.8
11236,FY15,2.8
11236,FY15,2.8
10454,FY15,2.8
11235,FY15,2.8
11203,FY15,2.9
11203,FY15,2.9
10460,FY14,2.9
11220,FY14,2.9
10032,FY14,2.9
10452,FY14,2.9
11212,FY14,2.9
10463,FY14,2.9
10029,FY14,2.9
11218,FY15,2.9
10466,FY15,2.9
10024,FY15,2.9
10469,FY15,2.9
10452,FY15,2.9
10002,FY15,2.9
11226,FY14,2.9
11233,FY14,2.9
10462,FY14,2.9
11203,FY15,3
10451,FY15,3
10009,FY15,3
11436,FY15,3
10025,FY15,3
10453,FY15,3
11691,FY15,3
11217,FY15,3
10457,FY15,3
10451,FY15,3
11206,FY15,3
11434,FY15,3.1
10016,FY14,3.1
11237,FY15,3.1
10457,FY14,3.1
11224,FY15,3.1
10009,FY14,3.1
11208,FY15,3.1
10001,FY15,3.1
10471,FY14,3.1
11226,FY15,3.1
10473,FY15,3.1
11229,FY15,3.1
11234,FY15,3.1
11213,FY15,3.1
11210,FY15,3.1
