Site ID,DBN,Site Name,Street Address,City,State,Zip Code,ECERS Most Recent Assessment Year,ECERS Observation Average Score
XAPN,11X700,1199 FUTURE OF AMERICA LEARNING CENTER,2500 CRESTON AVENUE,New York,NY,10468,FY14,3.5
KBOB,17K700,196 ALBANY AVENUE DCC,196 ALBANY AVENUE,New York,NY,11213,FY14,3.9
XAXC,09X700,3490 READY SET LEARN,3490 THIRD AVENUE,New York,NY,10456,FY15,4
RAEW,31R700,"4 ANGELS DAY CARE, INC.",245 SIMONSON AVENUE,New York,NY,10303,FY14,3.5
QAYL,30Q700,82ND STREET ACADEMICS,8110 35TH AVENUE,New York,NY,11372,FY15,4
KCJH,19K700,"A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",2570 PITKIN AVENUE,New York,NY,11208,FY15,3.2
QANS,29Q700,"A TO Z CENTER TOO, INC.",220-24 JAMAICA AVENUE,New York,NY,11428,FY14,3.9
KCJR,22K700,A TO Z DAY CARE CENTER,3053 AVENUE U,New York,NY,11229,FY15,3.6
Q290,24Q290,A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,70-02 54 AVENUE,New York,NY,11378,FY15,5.4
QAST,24Q700,"ABC PRESCHOOL & KINDERGARTEN CENTER, CORP",66-20 LAUREL HILL BOULEVARD,New York,NY,11377,FY15,4.1
MAXD,05M700,ABYSSINIAN DEVELOPMENT CORP 1,129 WEST 138TH STREET,New York,NY,10030,FY13,4
MBAJ,05M700,ABYSSINIAN DEVELOPMENT CORP 3,25 WEST 132ND STREET,New York,NY,10037,FY15,4.2
QBII,29Q700,ACADEMY OF EXCELLENCE BELL PARK 7,178-36 WEXFORD TERRACE,New York,NY,11432,FY15,3.8
KBMU,15K700,ACE EARLY CHILDHOOD CENTER,199 14TH STREET2ND FLOOR,New York,NY,11215,FY15,3.7
KBXL,32K700,ACE INTEGRATION HEAD START,1419-23 BROADWAY,New York,NY,11221,FY14,4.1
KARS,20K700,ACTION NURSERY,1019 46TH STREET,New York,NY,11219,FY15,4.1
MAXF,05M700,ADDIE MAE COLLINS 1,110 EAST 129TH STREET,New York,NY,10035,FY13,3.8
MAWD,04M700,ADDIE MAE COLLINS 2,345 EAST 101ST STREET,New York,NY,10029,FY15,3.2
MASA,05M700,ADDIE MAE COLLINS 3,2322 THIRD AVENUE,New York,NY,10035,FY14,3.3
QBHX,30Q700,ADVENTURELAND CHILD CARE,32-04 31ST AVE. (2ND FL),New York,NY,11106,FY15,4.3
QAOC,28Q700,AFRO AMERICAN PARENTS,117-02 GUY BREWER BLVD,New York,NY,11434,FY15,3.1
KATG,14K700,AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,201 CONSELYEA STREET,New York,NY,11211,FY15,4.3
KCJO,17K700,AIM HIGH CHILDRENS SERVICES,83 MARLBOROUGH RD,New York,NY,11226,FY15,4.1
QBHY,27Q700,AIM HIGH LEADERSHIP ACADEMY,131-44 134TH ST,New York,NY,11420,FY15,4.9
QBJO,30Q700,AL MADINAH SCHOOL,1824 ASTORIA BLVD.,New York,NY,11102,FY15,5
KCIZ,20K700,AL MADINAH SCHOOL SITE 2,2015 64 STREET,New York,NY,11204,FY15,4.3
KBYJ,15K700,"AL MADINAH SCHOOL, INC.",383 3RD AVENUE,New York,NY,11215,FY15,4.6
XAMI,09X700,ALEENE LOGAN DAY CARE,1450 WEBSTER AVENUE,New York,NY,10456,FY14,3.7
QARQ,26Q700,ALL MY CHILDREN,83-10 188 STREET,New York,NY,11423,FY14,5.4
