Site ID,DBN,Site Name,Site Street Address,Site Zip Code,Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
X028,09X028,P.S. 028 MOUNT HOPE,1861 ANTHONY AVENUE,10457,1861 ANTHONY AVENUE 10457,FY13,1.6
X042,09X042,P.S. 042 CLAREMONT,1537 WASHINGTON AVENUE,10457,1537 WASHINGTON AVENUE 10457,FY13,1.6
Q040,28Q040,P.S. 040 SAMUEL HUNTINGTON,109-20 UNION HALL STREET,11433,109-20 UNION HALL STREET 11433,FY15,1.9
K196,14K196,P.S. 196 TEN EYCK,207 BUSHWICK AVENUE,11206,207 BUSHWICK AVENUE 11206,FY15,1.9
K289,17K289,P.S. 289 GEORGE V. BROWER,900 ST MARKS AVENUE,11213,900 ST MARKS AVENUE 11213,FY15,1.9
X018,07X018,P.S. 018 JOHN PETER ZENGER,502 MORRIS AVENUE,10451,502 MORRIS AVENUE 10451,FY15,2
X065,07X065,P.S. 065 MOTHER HALE ACADEMY,677 EAST 141 STREET,10454,677 EAST 141 STREET 10454,FY15,2
K216,21K216,P.S. 216 ARTURO TOSCANINI,350 AVENUE X,11223,350 AVENUE X 11223,FY15,2
Q333,27Q333,GOLDIE MAPLE ACADEMY,3-65 BEACH 56 STREET,11692,3-65 BEACH 56 STREET 11692,FY15,2.1
R030,31R030,P.S. 030 WESTERLEIGH,200 WARDWELL AVENUE,10314,200 WARDWELL AVENUE 10314,FY13,2.1
X033,10X033,P.S. 033 TIMOTHY DWIGHT,2424 JEROME AVENUE,10468,2424 JEROME AVENUE 10468,FY13,2.1
M036,05M036,P.S. 036 MARGARET DOUGLAS,123 MORNINGSIDE DRIVE,10027,123 MORNINGSIDE DRIVE 10027,FY13,2.1
X134,12X134,P.S. 134 GEORGE F. BRISTOW,1330 BRISTOW STREET,10459,1330 BRISTOW STREET 10459,FY13,2.1
M154,05M154,P.S. 154 HARRIET TUBMAN,250 WEST 127 STREET,10027,250 WEST 127 STREET 10027,FY15,2.1
X207,10X207,P.S. 207,3030 GODWIN TERRACE,10463,3030 GODWIN TERRACE 10463,FY15,2.1
K224,19K224,P.S. 224 HALE A. WOODRUFF,757 WORTMAN AVENUE,11208,757 WORTMAN AVENUE 11208,FY15,2.1
KBWD,32K700,CHILD PRODIGY LEARNING INC.,1001 BROADWAY,11221,1001 BROADWAY 11221,FY15,2.2
R031,31R031,P.S. 031 WILLIAM T. DAVIS,55 LAYTON AVENUE,10301,55 LAYTON AVENUE 10301,FY13,2.2
X163,09X163,P.S. 163 ARTHUR A. SCHOMBURG,2075 WEBSTER AVENUE,10457,2075 WEBSTER AVENUE 10457,FY15,2.2
K221,17K221,P.S. 221 TOUSSAINT L'OUVERTURE,791 EMPIRE BOULEVARD,11213,791 EMPIRE BOULEVARD 11213,FY13,2.2
K345,19K345,P.S. 345 PATROLMAN ROBERT BOLDEN,111 BERRIMAN STREET,11208,111 BERRIMAN STREET 11208,FY13,2.2
MASX,04M700,PEQUENOS SOULS DAY CARE CENTER,114 EAST 122ND STREET,10035,114 EAST 122ND STREET 10035,FY14,2.2
X463,12X463,URBAN SCHOLARS COMMUNITY SCHOOL,1180 TINTON AVENUE,10456,1180 TINTON AVENUE 10456,FY13,2.2
XARW,12X700,C.S. 61 EARLY CHILDHOOD,1550 CROTONA PARK EAST,10460,1550 CROTONA PARK EAST 10460,FY15,2.3
X359,07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,750 CONCOURSE VILLAGE WEST,10451,750 CONCOURSE VILLAGE WEST 10451,FY15,2.3
M375,04M375,MOSAIC PREPARATORY ACADEMY,141 EAST 111 STREET,10029,141 EAST 111 STREET 10029,FY13,2.3
K017,14K017,P.S. 017 HENRY D. WOODWORTH,208 NORTH 5 STREET,11211,208 NORTH 5 STREET 11211,FY15,2.3
K025,16K025,P.S. 025 EUBIE BLAKE SCHOOL,787 LAFAYETTE AVENUE,11221,787 LAFAYETTE AVENUE 11221,FY13,2.3
X044,12X044,P.S. 044 DAVID C. FARRAGUT,1825 PROSPECT AVENUE,10457,1825 PROSPECT AVENUE 10457,FY13,2.3
Q050,28Q050,P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL,143-26 101 AVENUE,11435,143-26 101 AVENUE 11435,FY15,2.3
M155,04M155,P.S. 155 WILLIAM PACA,319 EAST 117 STREET,10035,319 EAST 117 STREET 10035,FY15,2.3
M188,01M188,P.S. 188 THE ISLAND SCHOOL,442 EAST HOUSTON STREET,10002,442 EAST HOUSTON STREET 10002,FY13,2.3
K335,16K335,P.S. 335 GRANVILLE T. WOODS,130 ROCHESTER AVENUE,11213,130 ROCHESTER AVENUE 11213,FY13,2.3
M210,06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,501-503 WEST 152 STREET,10031,501-503 WEST 152 STREET 10031,FY13,2.3
K323,23K323,P.S./I.S. 323,210 CHESTER STREET,11212,210 CHESTER STREET 11212,FY13,2.3
KBUW,19K700,ST. MALACHY ECDC,220 HENDRIX STREET,11207,220 HENDRIX STREET 11207,FY14,2.3
XATI,07X700,SUNSHINE DAY CARE,416 WILLIS AVENUE,10454,416 WILLIS AVENUE 10454,FY15,2.3
QALP,29Q700,EARLY SUNRISE PRESCHOOL,18708 HILLSIDE AVENUE,11432,18708 HILLSIDE AVENUE 11432,FY13,2.4
X016,11X016,P.S. 016 WAKEFIELD,4550 CARPENTER AVENUE,10470,4550 CARPENTER AVENUE 10470,FY13,2.4
X067,12X067,P.S. 067 MOHEGAN SCHOOL,2024 MOHEGAN AVENUE,10460,2024 MOHEGAN AVENUE 10460,FY13,2.4
X110,09X110,P.S. 110 THEODORE SCHOENFELD,580 CROTONA PARK SOUTH,10456,580 CROTONA PARK SOUTH 10456,FY13,2.4
M115,06M115,P.S. 115 ALEXANDER HUMBOLDT,586 WEST 177 STREET,10033,586 WEST 177 STREET 10033,FY13,2.4
K261,15K261,P.S. 261 PHILIP LIVINGSTON,314 PACIFIC STREET,11201,314 PACIFIC STREET 11201,FY15,2.4
K268,18K268,P.S. 268 EMMA LAZARUS,133 EAST 53 STREET,11203,133 EAST 53 STREET 11203,FY13,2.4
